FECHA,DATO
06/13/2017,18.084299
06/14/2017,17.9594
06/15/2017,18.092501
06/16/2017,17.949301
06/19/2017,17.949301
06/20/2017,18.244301
06/21/2017,18.2533
06/22/2017,18.134399
06/23/2017,18.0242
06/26/2017,17.9112
06/27/2017,18.0033
06/28/2017,17.8843
06/29/2017,18.058399
06/30/2017,18.180201
07/03/2017,18.2514
07/04/2017,18.185301
07/05/2017,18.338499
07/06/2017,18.2782
07/07/2017,18.124399
07/10/2017,17.972401
07/11/2017,17.9645
07/12/2017,17.8195
07/13/2017,17.7281
07/14/2017,17.592199
07/17/2017,17.615299
07/18/2017,17.502399
07/19/2017,17.514299
07/20/2017,17.5264
07/21/2017,17.6768
07/23/2017,17.6768
07/24/2017,17.7356
07/25/2017,17.827999
07/26/2017,17.622801
07/27/2017,17.7542
07/28/2017,17.789301
07/31/2017,17.834101
08/01/2017,17.9025
08/02/2017,17.8493
08/03/2017,17.8734
08/04/2017,17.9112
08/07/2017,17.9592
08/08/2017,17.896999
08/09/2017,17.9799
08/10/2017,18.0028
08/11/2017,17.892
08/14/2017,17.809601
08/15/2017,17.8396
08/16/2017,17.719101
08/17/2017,17.874399
08/18/2017,17.7773
08/21/2017,17.6882
08/22/2017,17.6982
08/23/2017,17.6982
08/24/2017,17.691
08/25/2017,17.691
08/28/2017,17.8855
08/29/2017,17.892
08/30/2017,17.7647
08/31/2017,17.906099
09/01/2017,17.8393
09/04/2017,17.913099
09/05/2017,17.8074
09/06/2017,17.8074
09/07/2017,17.6747
09/08/2017,17.7227
09/10/2017,17.7227
09/11/2017,17.729601
09/12/2017,17.7714
09/13/2017,17.7752
09/14/2017,17.6745
09/15/2017,17.6875
09/18/2017,17.7897
09/19/2017,17.836599
09/20/2017,17.745701
09/21/2017,17.919001
09/22/2017,17.7446
09/25/2017,17.9559
09/26/2017,17.965099
09/27/2017,18.2239
09/28/2017,18.175501
09/29/2017,18.260099
10/02/2017,18.258301
10/03/2017,18.255501
10/04/2017,18.2966
10/05/2017,18.5061
10/06/2017,18.6138
10/09/2017,18.7043
10/10/2017,18.853901
10/11/2017,18.7278
10/12/2017,18.906
10/13/2017,18.906
10/16/2017,19.0553
10/17/2017,18.7978
10/18/2017,18.8836
10/19/2017,18.804899
10/20/2017,19.0068
10/21/2017,19.0068
10/23/2017,19.1143
10/24/2017,19.246901
10/25/2017,19.0191
10/26/2017,19.2166
10/27/2017,19.181499
10/30/2017,19.2745
10/31/2017,19.1898
11/01/2017,19.1099
11/02/2017,19.1099
11/03/2017,19.2379
11/06/2017,19.065901
11/07/2017,19.1842
11/08/2017,19.135799
11/09/2017,19.0567
11/10/2017,19.1478
11/13/2017,19.161699
11/14/2017,19.132401
11/15/2017,19.2624
11/16/2017,19.0707
11/17/2017,18.944
11/20/2017,18.944
11/21/2017,18.821501
11/22/2017,18.683599
11/23/2017,18.6696
11/24/2017,18.5632
11/27/2017,18.6241
11/28/2017,18.571501
11/29/2017,18.5816
